Parameter,Count
lastValTS,1
objectID,1
provider,1
OBJECTID0,1
ntd_id,1
C21SZSET,1
C21ENPRF,1
stop_lat,1
stop_lon,1
C21UGPRF,1
C21IPGRD,1
C21IPUG,1
C21BASIC,1
INSTCAT,1
level_id,1
updatedAt,1
createdAt,1
statusMsg,1
eventName,1
lon,1
stations,1
heading,1
headingDegree,1
eventCode,1
eventTZ,1
origCode,1
velocity,1
originTZ,1
origName,1
destCode,1
destTZ,1
destName,1
trainState,1
WNTW_ALR_NPCTL,1
WNTW_ALRP,1
quads375_6,1
WFIR_HLRP,1
VLCN_EALR,1
VLCN_ALRB,1
VLCN_ALRP,1
VLCN_ALR_NPCTL,1
VLCN_RISKV,1
VLCN_RISKS,1
VLCN_RISKR,1
WFIR_EVNTS,1
WFIR_AFREQ,1
WFIR_EXP_AREA,1
WFIR_EXPB,1
WFIR_EXPP,1
WFIR_EXPPE,1
WFIR_EXPA,1
WFIR_EXPT,1
VLCN_EALS,1
VLCN_EALT,1
VLCN_EALPE,1
VLCN_EXPB,1
TSUN_RISKV,1
TSUN_RISKS,1
TSUN_RISKR,1
VLCN_EVNTS,1
VLCN_AFREQ,1
VLCN_EXP_AREA,1
VLCN_EXPP,1
VLCN_EALP,1
VLCN_EXPPE,1
VLCN_EXPT,1
VLCN_HLRB,1
VLCN_HLRP,1
VLCN_HLRR,1
VLCN_EALB,1
WFIR_HLRB,1
WFIR_HLRA,1
WNTW_ALRB,1
WFIR_HLRR,1
WNTW_EXPP,1
WNTW_EXPPE,1
WNTW_EXPA,1
WNTW_EXPT,1
WNTW_HLRB,1
WNTW_HLRP,1
WNTW_HLRA,1
WNTW_HLRR,1
WNTW_EALB,1
WNTW_EALP,1
WNTW_EALPE,1
WNTW_EALA,1
WNTW_EALT,1
WNTW_EALS,1
WNTW_EALR,1
WNTW_EXPB,1
WNTW_EXP_AREA,1
WNTW_AFREQ,1
WFIR_EALR,1
WFIR_EALB,1
WFIR_EALP,1
WFIR_EALPE,1
WFIR_EALA,1
WFIR_EALT,1
WFIR_EALS,1
WFIR_ALRB,1
WNTW_EVNTS,1
WFIR_ALRP,1
WFIR_ALRA,1
WFIR_ALR_NPCTL,1
WFIR_RISKV,1
WFIR_RISKS,1
WFIR_RISKR,1
download_date,1
COMPID,1
COMPNAME,1
Yr4FatCrsh,1
NM_CntFact,1
NM_Age,1
NM_Sex,1
NM_Impair,1
RTE_System,1
Int_Desc,1
TotalCrash,1
TotFatCrsh,1
FatCrshPct,1
Yr1TotCrsh,1
Yr1FatCrsh,1
Yr2TotCrsh,1
Yr2FatCrsh,1
Yr3TotCrsh,1
Yr3FatCrsh,1
NM_Action,1
NM_LocDesc,1
NM_Type,1
VehDesc_2,1
VehFled_1,1
CntrbAct_1,1
CntrFact_1,1
DriveAge_1,1
DriveSex_1,1
DriveImp_1,1
VehDir_2,1
DriveImp_2,1
VehMove_2,1
VehFled_2,1
CntrbAct_2,1
CntrFact_2,1
DriveAge_2,1
DriveSex_2,1
Yr4TotCrsh,1
Yr5TotCrsh,1
HOLDINGCO,1
Yr5FatCrsh,1
IALIAS,1
INSTNM,1
UNITID,1
quads375_A,1
quads375_P,1
quads375_S,1
FromMeas,1
quads375_1,1
quads375_2,1
quads375_3,1
quads375_G,1
quads375_D,1
quads375_M,1
quads375_4,1
quads375_5,1
ADDR,1
STABBR,1
OBEREG,1
HLOFFER,1
location,1
LAYER,1
DESCRIPTIO,1
FILENAME,1
HOSPITAL,1
HBCU,1
CONTROL,1
CHFNM,1
ICLEVEL,1
SECTOR,1
storage,1
WEBADDR,1
GENTELE,1
CHFTITLE,1
VehMove_1,1
VehDir_1,1
VehDesc_1,1
Num_Fat,1
INDRATE,1
OTHREV,1
OTHMWH,1
OTHCUST,1
OTHRATE,1
WHREV,1
WHMWH,1
WHCUST,1
WHRATE,1
SALEREV,1
LOCALE,1
SALEMWH,1
SALECUST,1
SALERATE,1
YEAR,1
INDCUST,1
INDMWH,1
INDREV,1
OPENPUBL,1
HOLDINGID,1
COMPABRV,1
PHONE,1
CLOSEDAT,1
CLRCODE,1
AREASQMI,1
RESREV,1
COMRATE,1
RESMWH,1
RESCUST,1
RESRATE,1
COMREV,1
COMMWH,1
COMCUST,1
COMPTYPE,1
ServiceAre,1
Shape_Area,1
Lighting,1
Location_1,1
Rel_Loc,1
Location_2,1
Road_Pos,1
Road_Curve,1
Road_Cond,1
Weather,1
TotVehicle,1
SchoolZone,1
Const_Zone,1
Num_UnInj,1
Num_Cmplnt,1
Num_MinInj,1
Num_SerInj,1
Road_Desc,1
Day,1
GIS_contac,1
Crash_ID,1
GIS_cont_1,1
Status_id,1
DIRECTION,1
Highway1,1
BeginRefPo,1
Route_Desi,1
CUID,1
Date_Time,1
TRIBAL,1
MEDICAL,1
Severity,1
Crash_Type,1
Crash_Date,1
Crash_Time,1
DnHydroseq,1
ELEVFIXED,1
ToMeas,1
P0020006,1
H0010003,1
H0010002,1
H0010001,1
P0040073,1
P0020022,1
P0020023,1
P0020024,1
P0020025,1
P0040072,1
P0020026,1
P0020027,1
P0020028,1
P0020029,1
P0020030,1
P0020031,1
P0020021,1
P0020020,1
P0020019,1
P0020011,1
P0050003,1
P0020007,1
P0050002,1
P0020008,1
P0020009,1
P0020010,1
P0020012,1
P0050001,1
P0020013,1
P0020014,1
P0020015,1
P0020016,1
P0020017,1
P0020018,1
P0040071,1
P0020032,1
P0040070,1
P0020047,1
P0040059,1
P0020042,1
P0020043,1
P0020044,1
P0020045,1
P0020046,1
P0020048,1
P0040061,1
P0020049,1
P0020050,1
P0020051,1
P0020052,1
P0020053,1
P0020054,1
P0040060,1
P0040062,1
P0020033,1
P0020037,1
P0020034,1
P0020035,1
P0040069,1
P0040068,1
P0040067,1
P0020036,1
P0020038,1
P0040063,1
P0020039,1
P0020040,1
P0020041,1
P0040066,1
P0040065,1
P0040064,1
P0050004,1
P0020005,1
P0010018,1
P0020004,1
P0010034,1
P0010035,1
P0010036,1
P0010037,1
P0010038,1
P0010039,1
P0010040,1
P0010041,1
PCT_P0020007,1
P0010042,1
P0010043,1
P0010044,1
P0010045,1
P0010046,1
P0010047,1
P0010033,1
P0010032,1
P0010031,1
PCT_P0020009,1
P0010019,1
P0010020,1
P0010021,1
P0010022,1
P0010023,1
PCT_P0020010,1
P0010024,1
P0010030,1
PCT_P0020008,1
P0010025,1
P0010026,1
P0010027,1
P0010028,1
P0010029,1
P0010048,1
P0010049,1
P0010050,1
P0050008,1
P0010066,1
P0010067,1
P0010068,1
P0010069,1
P0050010,1
P0050009,1
P0050007,1
P0010064,1
P0050006,1
P0050005,1
P0010070,1
P0010071,1
P0020002,1
P0020003,1
P0010065,1
P0010063,1
P0010051,1
PCT_P0020006,1
P0010052,1
P0010053,1
P0010054,1
P0010055,1
P0010056,1
P0010057,1
PCT_P0020005,1
P0010062,1
P0010058,1
PCT_P0020002,1
PCT_P0030001,1
P0010059,1
P0010060,1
P0010061,1
P0040058,1
P0020055,1
P0040057,1
P0020056,1
P0030035,1
P0030036,1
P0030037,1
P0030038,1
P0030039,1
P0030040,1
P0030041,1
P0030042,1
P0030043,1
P0030044,1
P0030045,1
P0030046,1
P0040017,1
P0030047,1
P0030048,1
P0030034,1
P0040018,1
P0030033,1
P0030030,1
P0030026,1
P0030027,1
P0030028,1
P0030029,1
P0040026,1
P0040025,1
P0040024,1
P0030032,1
P0030031,1
P0040023,1
P0040022,1
P0040021,1
P0040020,1
P0040019,1
P0030049,1
P0030050,1
P0030051,1
P0040007,1
P0030071,1
P0040002,1
P0040003,1
P0040004,1
P0040005,1
P0040006,1
P0040008,1
P0030069,1
P0040009,1
P0040010,1
P0040011,1
P0040012,1
P0040013,1
P0040014,1
P0030070,1
P0030068,1
P0030052,1
P0030059,1
P0030053,1
P0030054,1
P0030055,1
P0030056,1
P0030057,1
P0030058,1
P0030060,1
P0030067,1
P0030061,1
P0030062,1
P0030063,1
P0030064,1
P0030065,1
P0030066,1
P0030025,1
P0030024,1
P0030023,1
P0040043,1
P0040047,1
P0020066,1
P0020067,1
P0040046,1
P0040045,1
P0040044,1
P0040042,1
P0040049,1
P0040041,1
P0040040,1
P0040039,1
P0040038,1
P0040037,1
P0040036,1
P0040048,1
P0020065,1
P0020069,1
P0020061,1
P0020057,1
P0040056,1
P0020058,1
P0020059,1
P0040055,1
P0020060,1
P0020062,1
P0040050,1
P0040054,1
P0040053,1
P0020063,1
P0040052,1
P0040051,1
P0020064,1
P0020068,1
P0020070,1
P0030022,1
P0030014,1
P0030008,1
P0030009,1
P0030010,1
P0030011,1
P0030012,1
P0030013,1
P0030015,1
P0030006,1
P0030016,1
P0030017,1
P0030018,1
P0030019,1
P0030020,1
P0030021,1
P0030007,1
P0030005,1
P0020071,1
P0040031,1
P0040035,1
P0020072,1
P0040034,1
P0040033,1
P0040032,1
P0020073,1
P0030001,1
P0030004,1
P0040030,1
P0040029,1
P0040028,1
P0040027,1
P0030002,1
P0030003,1
PCT_P0020011,1
P0010017,1
RtnDiv,1
VA_02,1
VC_05,1
QE_05,1
VE_05,1
QA_06,1
VA_06,1
QC_06,1
VC_06,1
QE_06,1
VE_06,1
QA_07,1
VA_07,1
QC_07,1
VC_07,1
QE_07,1
VE_07,1
QC_05,1
VA_05,1
QA_05,1
VC_03,1
VC_02,1
QE_02,1
VE_02,1
QA_03,1
VA_03,1
QC_03,1
QE_03,1
VE_04,1
VE_03,1
QA_04,1
VA_04,1
QC_04,1
VC_04,1
QE_04,1
QA_08,1
VA_08,1
QC_08,1
QE_12,1
QE_11,1
VE_11,1
QA_12,1
VA_12,1
QC_12,1
VC_12,1
VE_12,1
QC_11,1
LakeFract,1
SurfArea,1
RAreaHLoad,1
GEOID20,1
TotPop2010,1
TotPop2020,1
VC_11,1
VA_11,1
VC_08,1
QE_09,1
QE_08,1
VE_08,1
QA_09,1
VA_09,1
QC_09,1
VC_09,1
VE_09,1
QA_11,1
QA_10,1
VA_10,1
QC_10,1
VC_10,1
QE_10,1
VE_10,1
QC_02,1
QA_02,1
P0010016,1
VE_01,1
ua_geog_year,1
ua_geog_source,1
ua_type_census,1
ua_name,1
ua_geoid,1
place_geoid,1
place_geog_year,1
place_name,1
geoid_county,1
county_geog_year,1
county_name,1
country_name,1
state_geom_year,1
state_geoid,1
state_name,1
ua_class_fta,1
ua_type_fta,1
aiannh_geoid,1
MAXELEVRAW,1
AreaSqKM,1
TotDASqKM,1
DivDASqKM,1
Tidal,1
TOTMA,1
HWNodeSqKM,1
MINELEVRAW,1
aiannh_name,1
MAXELEVSMO,1
MINELEVSMO,1
SLOPE,1
P0040015,1
aiannh_geog_year,1
HWTYPE,1
state_usps,1
tts_stop_name,1
website,1
VC_MA,1
SLOPELENKM,1
QA_MA,1
VA_MA,1
PUMA,1
SDUNI,1
QC_MA,1
QE_MA,1
GCUNI,1
VE_MA,1
QA_01,1
VA_01,1
QC_01,1
VC_01,1
QE_01,1
AREAWATR,1
PARTFLAG,1
phone,1
seasonal,1
covered,1
building,1
note,1
clubhouse,1
benches,1
backwall,1
lit,1
UGA,1
operator,1
windscreen,1
fence_type,1
courts,1
venue,1
sport,1
TotPopChng,1
TotPopPct,1
MunPop2010,1
MunPop2020,1
COMNATURAL,1
LNG_ROUND,1
LNG,1
LIQNATURAL,1
LPG_ROUND,1
LPG,1
PROPANE,1
HY_ROUND,1
STATENS,1
HY,1
HYDROGEN,1
Len_miles,1
Not_NHS,1
NEVI,1
FID_munili,1
CNG,1
CNG_ROUND,1
ELECTRICVE,1
NUMBER,1
Creator,1
EditDate,1
Editor,1
ObjectId2,1
AFC_NUMBER,1
ROADTYPE,1
PRIMARY_NA,1
EV,1
ALT_NAME_1,1
ALT_NAME_2,1
LOCAL_NAME,1
CCSTYLE,1
ALTFUEL_RO,1
EV_ROUND,1
NAMELC,1
NAMEUC,1
first_city,1
P0010009,1
P0010003,1
P0010004,1
P0010005,1
P0010006,1
P0010007,1
P0010008,1
PCT_H0010002,1
P0010001,1
P0010010,1
P0010011,1
P0010012,1
P0010013,1
P0010014,1
P0010015,1
P0010002,1
State_Name,1
id,1
MINE_TYPE,1
Shape__Area_2,1
Shape__Length_2,1
SUMLEV,1
MSHA_ID,1
MINE_NAME,1
PCT_H0010003,1
MINE_STATE,1
PERIOD,1
state,1
FIPS_COUNT,1
MINE_COUNT,1
PRODUCTION,1
PHYSICAL_U,1
REFUSE,1
CreationDate,1
Site_has_had_a_Partial_Deletion,1
Restoration_FR_Notice_Jumper_Pa,1
UATYPE,1
Proposed_Date,1
Listing_Date,1
Construction_Completion_Date,1
SLDL18,1
SLDU18,1
CD116,1
UA,1
SDELM,1
NECTAPCI,1
CBSAPCI,1
NECTADIV,1
CNECTA,1
